Summary,Description,Priority,Status,Reporter,Assignee,Request type,Issue Type,Categoría,Date Created,Comment,Comment,Comment,Comment,Comment,Comment
não consigo entrar na minha conta,"oi, tentei entrar hj de manha e fica dizendo que minha senha ta errada, mas eu sei que é a mesma de sempre. já tentei redefinir mas o email não chega",Medium,Resolved,qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:74b34d2b-8c7a-4390-a0d5-6fe51576bcc9,maxyjulio18@gmail.com,Portal Tokenia,Service Request,Acesso e autenticação,2/May/25 5:50 AM,"2/May/25 9:36 AM;maxyjulio18@gmail.com;Olá! Verificamos aqui e sua conta está ativa normalmente. Pode ser que o e-mail de redefinição tenha caído na caixa de spam ou lixo eletrônico. Você pode conferir essa pasta, por favor?",2/May/25 10:56 AM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:74b34d2b-8c7a-4390-a0d5-6fe51576bcc9;achei! tava na lixeira. mas o link diz que expirou,"2/May/25 11:55 AM;maxyjulio18@gmail.com;Entendido, o link de redefinição tem validade de 30 minutos. Vou gerar um novo agora — confira sua caixa de entrada nos próximos minutos, ok?","2/May/25 12:04 PM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:74b34d2b-8c7a-4390-a0d5-6fe51576bcc9;chegou! consegui trocar a senha, já entrei. valeu",,
perdi acesso ao authenticator e não consigo entrar,"troquei de celular ontem e não fiz backup do google authenticator, agora não tenho como gerar o código de 2FA pra entrar na conta",High,Resolved,qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:1007ee5e-c272-40ae-811d-eed78b3d4e7c,maxyjulio18@gmail.com,Tokenia App,Service Request,Acesso e autenticação,25/Apr/26 1:00 AM,"25/Apr/26 1:58 AM;maxyjulio18@gmail.com;Olá, entendo a situação. Para reativar o acesso sem o código 2FA precisamos confirmar sua identidade por outro meio. Vou te enviar um formulário de recuperação de conta — leva em torno de 24h úteis para ser analisado.","25/Apr/26 3:12 AM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:1007ee5e-c272-40ae-811d-eed78b3d4e7c;poxa, 24h é bastante tempo. tenho uma operação pendente","25/Apr/26 4:10 AM;maxyjulio18@gmail.com;Compreendo a urgência, mas esse prazo existe justamente para proteger sua conta contra acessos indevidos. Assim que o formulário for aprovado, o 2FA é resetado e você define um novo método.","25/Apr/26 4:43 AM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:1007ee5e-c272-40ae-811d-eed78b3d4e7c;ok, vou preencher agora entao",,
ordem de compra de bitcoin ficou pendente,"fiz uma ordem de compra de 0.01 BTC as 14h e até agora (16h) continua como pendente, o preço do bitcoin já mudou bastante desde então",Medium,Resolved,qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:90ddc072-98d5-472a-8bd1-0e91d161e3ed,maxi220julio@gmail.com,Portal Tokenia,Service Request,Operações de compra/venda cripto,4/Nov/24 12:31 AM,"4/Nov/24 2:06 AM;maxi220julio@gmail.com;Olá! Verificamos sua ordem e ela ficou pendente porque foi criada como ordem limite, com um preço abaixo do valor de mercado no momento. Ela só executa quando o preço do BTC cair até o valor definido.","4/Nov/24 2:54 AM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:90ddc072-98d5-472a-8bd1-0e91d161e3ed;ah não sabia que tinha diferença, pensei que era tudo igual","4/Nov/24 3:12 AM;maxi220julio@gmail.com;Sem problemas! Se preferir comprar no preço atual, você pode cancelar essa ordem e criar uma nova como ordem a mercado, que executa na hora pelo preço vigente.","4/Nov/24 3:28 AM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:90ddc072-98d5-472a-8bd1-0e91d161e3ed;entendi, vou cancelar e fazer a mercado. obrigado pela explicação",,
quero cancelar uma ordem de venda de ETH,"coloquei uma ordem de venda de ETH ontem à noite e mudei de ideia, quero cancelar antes que execute",Low,Canceled,qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:ed04d6ae-f36e-4f44-ba75-dad36ede95b7,maxi220julio@gmail.com,Tokenia Email,General request,Operações de compra/venda cripto,15/Apr/25 10:03 PM,"16/Apr/25 5:18 AM;maxi220julio@gmail.com;Olá! Verifiquei sua conta e a ordem ainda estava pendente, então já realizamos o cancelamento para você. O saldo em ETH foi liberado novamente na sua carteira.","16/Apr/25 6:11 AM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:ed04d6ae-f36e-4f44-ba75-dad36ede95b7;perfeito, obrigada",,,,
não consigo comprar cripto com saldo em reais,"tenho saldo em BRL na conta mas quando tento comprar USDT da erro dizendo saldo insuficiente, mas o saldo ta la",Medium,Resolved,qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:eb9cbe24-105c-40ed-844a-c2c2ea40c29f,maxi220julio@gmail.com,Tokenia Email,General request,Operações de compra/venda fiat,24/Dec/24 5:02 PM,24/Dec/24 6:01 PM;maxi220julio@gmail.com;Olá! Pode ser que parte do seu saldo esteja reservado em uma ordem aberta. Você pode verificar na seção 'Ordens abertas' se existe algo pendente que esteja usando esse valor?,"24/Dec/24 6:43 PM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:eb9cbe24-105c-40ed-844a-c2c2ea40c29f;verdade, tinha uma ordem antiga aberta que eu tinha esquecido","24/Dec/24 6:58 PM;maxi220julio@gmail.com;Isso explica! Assim que cancelar essa ordem antiga, o saldo reservado volta a ficar disponível para novas compras.","24/Dec/24 7:32 PM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:eb9cbe24-105c-40ed-844a-c2c2ea40c29f;cancelei e agora deu certo, valeu pela ajuda",,
PIX que fiz pra comprar cripto não caiu na Tokenia,"fiz um PIX de R$500 pra minha conta na Tokenia as 10h pra comprar cripto e até agora não apareceu o saldo, já foi debitado do meu banco",High,Resolved,qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:98550bc5-9bb9-469f-b7d4-4756a5f09e88,maxi220julio@gmail.com,Tokenia Web,Service Request,Operações de compra/venda fiat,18/Sep/25 5:55 PM,"18/Sep/25 6:21 PM;maxi220julio@gmail.com;Olá, sinto pela demora. Poderia me enviar o comprovante do PIX com o horário exato e a chave utilizada, por favor?","18/Sep/25 7:48 PM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:98550bc5-9bb9-469f-b7d4-4756a5f09e88;envio aqui, a chave que usei foi a chave CPF que ta no app de voces","18/Sep/25 8:02 PM;maxi220julio@gmail.com;Recebido, obrigado. PIX normalmente é creditado em minutos, mas em horários de instabilidade bancária pode levar até algumas horas. Vou acompanhar seu caso com prioridade e te aviso assim que localizarmos a transação.","18/Sep/25 9:24 PM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:98550bc5-9bb9-469f-b7d4-4756a5f09e88;ok, fico no aguardo entao","18/Sep/25 10:50 PM;maxi220julio@gmail.com;Localizamos o PIX e o saldo já foi creditado na sua conta. Pode conferir, por favor?","18/Sep/25 11:16 PM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:98550bc5-9bb9-469f-b7d4-4756a5f09e88;apareceu sim, muito obrigado pela atenção"
deposito de USDT não caiu ainda,enviei 100 USDT rede TRC20 pro meu endereço de deposito na Tokenia ha 2 horas e ainda não apareceu na minha carteira,Medium,Resolved,qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:dcd8d81d-4933-40c2-b3f2-7d9c8757ab99,maxyjulio18@gmail.com,Tokenia App,Service Request,Depósitos e saques,17/Feb/26 2:18 AM,"17/Feb/26 4:47 AM;maxyjulio18@gmail.com;Olá! Depósitos em rede TRC20 costumam ser creditados após algumas confirmações na blockchain, geralmente rápido. Você pode me passar o hash da transação (TxID) para verificarmos?","17/Feb/26 4:59 AM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:dcd8d81d-4933-40c2-b3f2-7d9c8757ab99;claro, o hash é abc123xyz","17/Feb/26 5:33 AM;maxyjulio18@gmail.com;Localizei sua transação, ela já tem confirmações suficientes na rede. O saldo já deve estar disponível na sua conta, pode conferir?",17/Feb/26 5:42 AM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:dcd8d81d-4933-40c2-b3f2-7d9c8757ab99;apareceu agora! obrigado,,
saque de reais não foi processado depois de 3 dias,"pedi um saque de R$2000 pra minha conta bancaria faz 3 dias uteis e o status continua 'processando', minha agencia nao recebeu nada ainda",High,Escalated,qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:98550bc5-9bb9-469f-b7d4-4756a5f09e88,maxi220julio@gmail.com,Portal Tokenia,Service Request,Depósitos e saques,22/Jan/25 6:00 PM,"22/Jan/25 6:59 PM;maxi220julio@gmail.com;Olá, peço desculpas pela demora nesse processo. Vou escalar seu caso para o time financeiro fazer uma verificação mais detalhada, pois esse prazo está acima do esperado.","22/Jan/25 7:31 PM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:98550bc5-9bb9-469f-b7d4-4756a5f09e88;por favor, é um valor importante pra mim","22/Jan/25 8:59 PM;maxi220julio@gmail.com;Entendo perfeitamente. Já registrei seu caso como prioritário junto ao time responsável. Assim que tivermos uma posição, entramos em contato por aqui.",,,
recebi alerta de login suspeito,"recebi um email dizendo que teve um acesso a minha conta de um lugar que eu nunca estive, fiquei preocupado",Highest,Resolved,qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:98550bc5-9bb9-469f-b7d4-4756a5f09e88,maximilianojavierjulio@gmail.com,Tokenia Web,Service Request,Segurança da conta,8/Oct/24 10:38 PM,"8/Oct/24 10:45 PM;maximilianojavierjulio@gmail.com;Olá! Agradecemos por nos avisar rapidamente. Por segurança, já bloqueamos temporariamente sua conta e forçamos o encerramento de todas as sessões ativas. Você consegue confirmar se ainda tem acesso ao seu e-mail e ao 2FA?","8/Oct/24 11:23 PM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:98550bc5-9bb9-469f-b7d4-4756a5f09e88;sim, tenho acesso aos dois normalmente",9/Oct/24 12:42 AM;maximilianojavierjulio@gmail.com;Ótimo. Nesse caso recomendamos trocar sua senha agora e ativar a verificação em duas etapas caso ainda não esteja ativa. Vou liberar novamente o acesso da sua conta.,"9/Oct/24 1:41 AM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:98550bc5-9bb9-469f-b7d4-4756a5f09e88;já troquei a senha e ativei o 2FA, muito obrigado pela agilidade",,
quero ativar autenticação de dois fatores,"vi que tem opção de 2FA no app mas não sei como configurar, pode me ajudar?",High,Resolved,qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:98550bc5-9bb9-469f-b7d4-4756a5f09e88,maxi220julio@gmail.com,Tokenia App,Service Request,Segurança da conta,1/Oct/24 9:22 PM,"1/Oct/24 9:34 PM;maxi220julio@gmail.com;Olá! Claro, é bem simples. Vá em Configurações > Segurança > Autenticação em duas etapas, e escolha o app Google Authenticator ou Authy. Vai aparecer um QR code para escanear no app escolhido.","1/Oct/24 10:33 PM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:98550bc5-9bb9-469f-b7d4-4756a5f09e88;escaneei e apareceu um codigo de 6 digitos, é isso que eu coloco?","1/Oct/24 11:54 PM;maxi220julio@gmail.com;Isso mesmo! Digite esse código na tela para confirmar a ativação. A partir daí, toda vez que você entrar vai precisar desse código além da senha.","2/Oct/24 12:07 AM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:98550bc5-9bb9-469f-b7d4-4756a5f09e88;funcionou, ativado com sucesso. obrigado!",,
